hard,title,maker,date,sales,ruikei,year,url
GB,ポケットモンスター 赤／緑／青／ピカチュウ,任天堂,1996/2/27,1663861,1663861,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%9D%E3%82%B1%E3%83%83%E3%83%88%E3%83%A2%E3%83%B3%E3%82%B9%E3%82%BF%E3%83%BC+%28%E8%B5%A4%E3%83%BB%E7%B7%91%E3%83%BB%E9%9D%92%E3%83%BB%E3%83%94%E3%82%AB%E3%83%81%E3%83%A5%E3%82%A6%29&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,鉄拳2,ナムコ,1996/3/29,1079585,1079585,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E9%89%84%E6%8B%B32&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,スーパーマリオRPG,任天堂,1996/3/9,995898,995898,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%AA%E3%82%AARPG&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,バイオハザード,カプコン,1996/3/22,942987,942987,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%90%E3%82%A4%E3%82%AA%E3%83%8F%E3%82%B6%E3%83%BC%E3%83%89&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,ダービースタリオン96,アスキー,1996/3/15,903200,903200,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%80%E3%83%BC%E3%83%93%E3%83%BC%E3%82%B9%E3%82%BF%E3%83%AA%E3%82%AA%E3%83%B396&tag=zoocar-22&link_code=wql&_encoding=UTF-8
N64,スーパーマリオ64,任天堂,1996/6/23,890749,890749,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%9E%E3%83%AA%E3%82%AA64&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,スーパーファミコン ドラゴンクエストIII そして伝説へ・・・,エニックス,1996/12/6,719886,719886,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%B9%E3%83%BC%E3%83%91%E3%83%BC%E3%83%95%E3%82%A1%E3%83%9F%E3%82%B3%E3%83%B3+%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88III+%E3%81%9D%E3%81%97%E3%81%A6%E4%BC%9D%E8%AA%AC%E3%81%B8%E3%83%BB%E3%83%BB%E3%83%BB&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,アークザラッドII,SCE,1996/11/1,672420,672420,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%82%A2%E3%83%BC%E3%82%AF%E3%82%B6%E3%83%A9%E3%83%83%E3%83%89II&tag=zoocar-22&link_code=wql&_encoding=UTF-8
PS,TOBAL No.1,スクウェア,1996/8/2,657816,657816,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=TOBAL+No.1&tag=zoocar-22&link_code=wql&_encoding=UTF-8
SFC,ドラゴンクエストVI　幻の大地,エニックス,1995/12/9,599335,3081975,1996,http://www.amazon.co.jp/s/?url=search-alias=blended&field-keywords=%E3%83%89%E3%83%A9%E3%82%B4%E3%83%B3%E3%82%AF%E3%82%A8%E3%82%B9%E3%83%88VI%E3%80%80%E5%B9%BB%E3%81%AE%E5%A4%A7%E5%9C%B0&tag=zoocar-22&link_code=wql&_encoding=UTF-8
